year_week,home_red
2020-07,0.995
2020-08,1.0114285714285713
2020-09,1.0157142857142856
2020-10,1.0085714285714285
2020-11,1.0071428571428571
2020-12,1.18
2020-13,1.2771428571428571
2020-14,1.282857142857143
2020-15,1.284285714285714
2020-16,1.2585714285714287
2020-17,1.2442857142857142
2020-18,1.2442857142857144
2020-19,1.2428571428571427
2020-20,1.2871428571428574
2020-21,1.3314285714285714
2020-22,1.3142857142857145
2020-23,1.3114285714285716
2020-24,1.312857142857143
2020-25,1.3114285714285714
2020-26,1.3157142857142858
2020-27,1.3242857142857145
2020-28,1.3014285714285716
2020-29,1.3057142857142858
2020-30,1.2914285714285716
2020-31,1.272857142857143
2020-32,1.2614285714285713
2020-33,1.2385714285714287
2020-34,1.2257142857142858
2020-35,1.2142857142857142
2020-36,1.2
2020-37,1.2014285714285715
2020-38,1.2128571428571426
2020-39,1.2028571428571428
2020-40,1.1814285714285713
2020-41,1.172857142857143
2020-42,1.19
2020-43,1.1600000000000001
2020-44,1.1542857142857144
2020-45,1.1414285714285715
2020-46,1.1428571428571428
2020-47,1.1414285714285715
2020-48,1.1328571428571428
2020-49,1.1214285714285717
2020-50,1.1685714285714286
2020-51,1.1342857142857141
2020-52,1.1614285714285715
2020-53,1.1742857142857142
2021-01,1.1471428571428572
2021-02,1.1414285714285715
2021-03,1.1385714285714286
2021-04,1.1428571428571428
2021-05,1.132857142857143
2021-06,1.12
2021-07,1.1242857142857143
2021-08,1.1157142857142857
2021-09,1.1300000000000001
