Age,total
0-4,428895.5
5-9,428895.5
10-14,427638.0
15-19,427638.0
20-24,575630.0
25-29,575630.0
30-34,494443.0
35-39,494443.0
40-44,439103.5
45-49,439103.5
50-54,410005.5
55-59,410005.5
60-64,267754.5
65-69,267754.5
70-74,154648.5
75+,324797.5
